GRPCODE;GRPNAME;MKBCODE
10 000 053;Холера;A00
10 000 054;Тиф и паратиф;A01
10 000 055;Другие сальмонеллезные инфекции;A02
10 000 056;Шигеллез;A03
10 000 057;Другие бактериальные кишечные инфекции;A04
10 000 058;Другие бактериальные пищевые отравления;A05
10 000 059;Амебиаз;A06
10 000 060;Другие протозойные кишечные болезни;A07
10 000 061;Вирусные и другие уточненные кишечные инфекции;A08
10 000 062;Диарея и гастроэнтерит предположительно инфекционного происхождения;A09
10 000 063;Туберкулез органов дыхания, подтвержденный бактериологически и гистологически;A15
10 000 064;Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически;A16
10 000 065;Туберкулез нервной системы;A17+
10 000 066;Туберкулез других органов;A18
10 000 067;Милиарный туберкулез;A19
10 000 068;Чума;A20
10 000 069;Туляремия;A21
10 000 070;Сибирская язва;A22
10 000 071;Бруцеллез;A23
10 000 072;Сап и мелиоидоз;A24
10 000 073;Лихорадка от укуса крыс;A25
10 000 074;Эризипелоид;A26
10 000 075;Лептоспироз;A27
10 000 076;Другие бактериальные зоонозы, не классифицированные в других рубриках;A28
10 000 077;Лепра [болезнь Гансена];A30
10 000 078;Инфекции, вызванные другими микобактериями;A31
10 000 079;Листериоз;A32
10 000 080;Столбняк новорожденного;A33
10 000 081;Акушерский столбняк;A34
10 000 082;Другие формы столбняка;A35
10 000 083;Дифтерия;A36
10 000 084;Коклюш;A37
10 000 085;Скарлатина;A38
10 000 086;Менингококковая инфекция;A39
10 000 087;Стрептококковая септицемия;A40
10 000 088;Другая септицемия;A41
10 000 089;Актиномикоз;A42
10 000 090;Нокардиоз;A43
10 000 091;Бартонеллез;A44
10 000 092;Рожа;A46
10 000 093;Другие бактериальные болезни, не классифицированные в других рубриках;A48
10 000 094;Бактериальная инфекция неуточненной локализации;A49
10 000 095;Врожденный сифилис;A50
10 000 096;Ранний сифилис;A51
10 000 097;Поздний сифилис;A52
10 000 098;Другие и неуточненные формы сифилиса;A53
10 000 099;Гонококковая инфекция;A54
10 000 100;Хламидийная лимфогранулема (венерическая);A55
