DGCODE;GRPCODE;DGNAME;MKBCODE
10002089;10000053;Холера, вызванная холерным вибрионом 01, биовар cholerae;A00.0
10002090;10000053;Холера, вызванная холерным вибрионом 01, биовар eltor;A00.1
10002091;10000053;Холера неуточненная;A00.9
10002092;10000054;Брюшной тиф;A01.0
10002093;10000054;Паратиф A;A01.1
10002094;10000054;Паратиф B;A01.2
10002095;10000054;Паратиф C;A01.3
10002096;10000054;Паратиф неуточненный;A01.4
10002097;10000055;Сальмонеллезный энтерит;A02.0
10002098;10000055;Сальмонеллезная септицемия;A02.1
10002099;10000055;Локализованная сальмонеллезная инфекция;A02.2+
10002100;10000055;Другая уточненная сальмонеллезная инфекция;A02.8
10002101;10000055;Сальмонеллезная инфекция неуточненная;A02.9
10002102;10000056;Шигеллез, вызванный Shigella dysenteriae;A03.0
10002103;10000056;Шигеллез, вызванный Shigella flexneri;A03.1
10002104;10000056;Шигеллез, вызванный Shigella boydii;A03.2
10002105;10000056;Шигеллез, вызванный Shigella sonnei;A03.3
10002106;10000056;Другой шигеллез;A03.8
10002107;10000056;Шигеллез неуточненный;A03.9
10002108;10000057;Энтеропатогенная инфекция, вызванная Escherichia coli;A04.0
10002109;10000057;Энтеротоксигенная инфекция, вызванная Escherichia coli;A04.1
10002110;10000057;Энтероинвазивная инфекция, вызванная Escherichia coli;A04.2
10002111;10000057;Энтерогеморрагическая инфекция, вызванная Escherichia coli;A04.3
10002112;10000057;Другие кишечные инфекции, вызванные Escherichia coli;A04.4
10002113;10000057;Энтерит, вызванный Campylobacter;A04.5
10002114;10000057;Энтерит, вызванный Yersinia enterocolitica;A04.6
10002115;10000057;Энтероколит, вызванный Clostridium difficile;A04.7
10002116;10000057;Другие уточненные бактериальные кишечные инфекции;A04.8
10002117;10000057;Бактериальная кишечная инфекция неуточненная;A04.9
10002118;10000058;Стафилококковое пищевое отравление;A05.0
10002119;10000058;Ботулизм;A05.1
10002120;10000058;Пищевое отравление, вызванное Clostridium perfringens;A05.2
10002121;10000058;Пищевое отравление, вызванное Vibrio parahaemolyticus;A05.3
10002122;10000058;Пищевое отравление, вызванное Bacillus cereus;A05.4
10002123;10000058;Другие уточненные бактериальные пищевые отравления;A05.8
